Activities,State,Category ,Park,Area Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Park,Area Name,State,Category,Park,Area Name,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name
 Camping, ME, National Park, Acadia National Park, Acadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument, Castle Mountains National Monument, Castle Mountains," FL, ", National Seashore, Canaveral National Seashore, Canaveral," UT, ", National Park, Canyonlands National Park, Canyonlands," UT, ", National Park, Capitol Reef National Park, Capitol Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dinosaur National Monument, Dinosaur," FL, ", National Park, Dry Tortugas National Park, Dry Tortugas," WA, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," FL,MS, ", National Seashore, Gulf Islands National Seashore, Gulf Islands," TX, ", National Park, Guadalupe Mountains National Park, Guadalupe Mountains," HI, ", National Park, Haleakalā National Park, Haleakalā," HI, ", National Park, Hawaiʻi Volcanoes National Park, Hawaiʻi Volcanoes
," MD, VA  ", National Seashore, Assateague Island National Seashore, Assateague Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal," ID, ", National Reserve, City Of Rocks National Reserve, City Of Rocks," CO, ", National Monument, Colorado National Monument, Colorado," SC, ", National Park,Congaree National Park, Congaree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Gila Cliff Dwellings National Monument, Gila Cliff Dwellings," MT, ", National Park, Glacier National Park, Glacier," AK, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SD  , National Park, Badlands National Park, Badlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Reserve, City Of Rocks National Reserve, City Of Rocks," CO, ", National Monument, Colorado National Monument, Colorado," SC, ", National Park,Congaree National Park, Congaree," OR, ", National Park,Crater Lake National Park, Crater Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Glacier National Park, Glacier," AK, ", National Park & Preserve, Glacier Bay National Park & Preserve, Glacier Bay," AZ,UT, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, NM  , National Monument, Bandelier National Monument, Bandelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument, Colorado National Monument, Colorado," SC, ", National Park,Congaree National Park, Congaree," OR, ", National Park,Crater Lake National Park, Crater Lake," ID, ", National Monument & Preserve, Craters Of The Moon National Monument & Preserve, Craters Of The Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Glacier Bay National Park & Preserve, Glacier Bay," AZ,UT, "," glca, designation", National Recreation Area, Glen Canyon National Recreation Area," CA, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, AK  , National Preserve, Bering Land Bridge National Preserve, Bering Land Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park,Congaree National Park, Congaree," OR, ", National Park,Crater Lake National Park, Crater Lake," ID, ", National Monument & Preserve, Craters Of The Moon National Monument & Preserve, Craters Of The Moon," KY,TN,VA, ", National Historical Park, Cumberland Gap National Historical Park, Cumberland Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Recreation Area, Glen Canyon National Recreation Area," CA, ", National Recreation Area, Golden Gate National Recreation Area, Golden Gate," NV, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, TX  , National Park, Big Bend National Park, Big Bend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park,Crater Lake National Park, Crater Lake," ID, ", National Monument & Preserve, Craters Of The Moon National Monument & Preserve, Craters Of The Moon," KY,TN,VA, ", National Historical Park, Cumberland Gap National Historical Park, Cumberland Gap," GA, ", National Seashore, Cumberland Island National Seashore, Cumberland Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Golden Gate National Recreation Area, Golden Gate," NV, ", National Park, Great Basin National Park, Great Basin," AZ, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," MT, WY  ", National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument & Preserve, Craters Of The Moon National Monument & Preserve, Craters Of The Moon," KY,TN,VA, ", National Historical Park, Cumberland Gap National Historical Park, Cumberland Gap," GA, ", National Seashore, Cumberland Island National Seashore, Cumberland Island," CO, ", National Recreation Area, Curecanti National Recreation Area, Curecanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Great Basin National Park, Great Basin," AZ, ", National Park, Grand Canyon National Park, Grand Canyon," MD, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, FL  , National Preserve, Big Cypress National Preserve, Big Cypress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historical Park, Cumberland Gap National Historical Park, Cumberland Gap," GA, ", National Seashore, Cumberland Island National Seashore, Cumberland Island," CO, ", National Recreation Area, Curecanti National Recreation Area, Curecanti," OH, ", National Park, Cuyahoga Valley National Park, Cuyahoga Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Grand Canyon National Park, Grand Canyon," MD, ", Park, Greenbelt Park, Greenbelt," NJ, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, FL  , National Park, Biscayne National Park, Biscayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Seashore, Cumberland Island National Seashore, Cumberland Island," CO, ", National Recreation Area, Curecanti National Recreation Area, Curecanti," OH, ", National Park, Cuyahoga Valley National Park, Cuyahoga Valley," AK, ", National Park & Preserve, Denali National Park & Preserve, Denali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Greenbelt Park, Greenbelt," NJ, ", , Great Egg Harbor River, Great Egg Harbor River," MN, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," KY, TN  ", National River & Recreation Area, Big South Fork National River & Recreation Area, Big South Fork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Recreation Area, Curecanti National Recreation Area, Curecanti," OH, ", National Park, Cuyahoga Valley National Park, Cuyahoga Valley," AK, ", National Park & Preserve, Denali National Park & Preserve, Denali," CA, ", National Monument, Devils Postpile National Monument, Devils Postpile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Great Egg Harbor River, Great Egg Harbor River," MN, ", National Monument, Grand Portage National Monument, Grand Portage," CO, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, TX  , National Preserve, Big Thicket National Preserve, Big Thicket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Cuyahoga Valley National Park, Cuyahoga Valley," AK, ", National Park & Preserve, Denali National Park & Preserve, Denali," CA, ", National Monument, Devils Postpile National Monument, Devils Postpile," WY, ", National Monument, Devils Tower National Monument, Devils Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Grand Portage National Monument, Grand Portage," CO, ", National Park & Preserve, Great Sand Dunes National Park & Preserve, Great Sand Dunes," NC,TN, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
