Activities,State,Category ,Park,Area Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category,Park,Area Name,State,Category,Park,Area Name,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name
, FL  , National Park, Biscayne National Park, Biscayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historical Park, Fort Sumter and Fort Moultrie National Historical Park, Fort Sumter and Fort Moultrie," MD, ", Park, Fort Washington Park, Fort Washington,,,,,,,,,,,,,,,
," KY, TN  ", National River & Recreation Area, Big South Fork National River & Recreation Area, Big South Fork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Park, Fort Washington Park, Fort Washington," DE,PA, ", National Historical Park, First State National Historical Park, First State,,,,,,,,,,,,,,,
, TX  , National Preserve, Big Thicket National Preserve, Big Thicket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historical Park, First State National Historical Park, First State," WV, ", National Recreation Area, Gauley River National Recreation Area, Gauley River,,,,,,,,,,,,,,,
, CO  , National Park, Black Canyon Of The Gunnison National Park, Black Canyon Of The Gunnison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Recreation Area, Gauley River National Recreation Area, Gauley River," NY,NJ, ", National Recreation Area, Gateway National Recreation Area, Gateway,,,,,,,,,,,,,,,
," NC, VA  ", Parkway, Blue Ridge Parkway, Blue Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Recreation Area, Gateway National Recreation Area, Gateway," IN, ", National Historical Park, George Rogers Clark National Historical Park, George Rogers Clark,,,,,,,,,,,,,,,
," RI, MA  ", National Historical Park, Blackstone River Valley National Historical Park, Blackstone River Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historical Park, George Rogers Clark National Historical Park, George Rogers Clark," VA, ", National Monument, George Washington Birthplace National Monument, George Washington Birthplace,,,,,,,,,,,,,,,
, WV  , National Scenic River, Bluestone National Scenic River, Bluestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument, George Washington Birthplace National Monument, George Washington Birthplace," MT, ", National Park, Glacier National Park, Glacier,,,,,,,,,,,,,,,
, MA  , National Recreation Area, Boston Harbor Islands National Recreation Area, Boston Harbor Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Glacier National Park, Glacier," AK, ", National Park & Preserve, Glacier Bay National Park & Preserve, Glacier Bay,,,,,,,,,,,,,,,
, MA  , National Historical Park, Boston National Historical Park, Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park & Preserve, Glacier Bay National Park & Preserve, Glacier Bay," AZ,UT, ", National Recreation Area, Glen Canyon National Recreation Area, Glen Canyon,,,,,,,,,,,,,,,
, AR  , National River, Buffalo National River, Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Recreation Area, Glen Canyon National Recreation Area, Glen Canyon," CA, ", National Recreation Area, Golden Gate National Recreation Area, Golden Gate,,,,,,,,,,,,,,,
, MA  , National Seashore, Cape Cod National Seashore, Cape Cod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Recreation Area, Golden Gate National Recreation Area, Golden Gate," NV, ", National Park, Great Basin National Park, Great Basin,,,,,,,,,,,,,,,
, NC  , National Seashore, Cape Hatteras National Seashore, Cape Hatteras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Great Basin National Park, Great Basin," AZ, ", National Park, Grand Canyon National Park, Grand Canyon,,,,,,,,,,,,,,,
," VA, MD, DE, DC, PA, NY  ", National Historic Trail, Captain John Smith Chesapeake National Historic Trail, Captain John Smith Chesapeake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Grand Canyon National Park, Grand Canyon," NJ, ", , Great Egg Harbor River, Great Egg Harbor River,,,,,,,,,,,,,,,
, NC  , National Seashore, Cape Lookout National Seashore, Cape Lookout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , Great Egg Harbor River, Great Egg Harbor River," CO, ", National Park & Preserve, Great Sand Dunes National Park & Preserve, Great Sand Dunes,,,,,,,,,,,,,,,
, FL  , National Seashore, Canaveral National Seashore, Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park & Preserve, Great Sand Dunes National Park & Preserve, Great Sand Dunes," NC,TN, ", National Park, Great Smoky Mountains National Park, Great Smoky Mountains,,,,,,,,,,,,,,,
, UT  , National Park, Capitol Reef National Park, Capitol Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Great Smoky Mountains National Park, Great Smoky Mountains," WY, ", National Park, Grand Teton National Park, Grand Teton,,,,,,,,,,,,,,,
, MD  , Park, Catoctin Mountain Park, Catoctin Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Grand Teton National Park, Grand Teton," FL,MS, ", National Seashore, Gulf Islands National Seashore, Gulf Islands,,,,,,,,,,,,,,,
, GA  , National Recreation Area, Chattahoochee River National Recreation Area, Chattahoochee River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Seashore, Gulf Islands National Seashore, Gulf Islands," AL, ", National Military Park, Horseshoe Bend National Military Park, Horseshoe Bend,,,,,,,,,,,,,,,
, OK  , National Recreation Area, Chickasaw National Recreation Area, Chickasaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Military Park, Horseshoe Bend National Military Park, Horseshoe Bend," AR, ", National Park, Hot Springs National Park, Hot Springs,,,,,,,,,,,,,,,
, CA  , National Park, Channel Islands National Park, Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Hot Springs National Park, Hot Springs," WI, ", National Scenic Trail, Ice Age National Scenic Trail, Ice Age,,,,,,,,,,,,,,,
