Activity,State,Category ,Park,Area Name
Astronomy,MA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,MD, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,ME, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,MS, Parkway, Natchez Trace Parkway, Natchez Trace
Astronomy,NC, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,NE  , National Recreational River, Missouri National Recreational River, Missouri
Astronomy,NH, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,NJ, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,NV  , National Park, Death Valley National Park, Death Valley
Astronomy,NY, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,PA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,TN, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,TN, National River & Recreation Area, Big South Fork National River & Recreation Area, Big South Fork
Astronomy,TN, National Park, Great Smoky Mountains National Park, Great Smoky Mountains
Astronomy,TN, Parkway, Natchez Trace Parkway, Natchez Trace
Astronomy,UT  , National Monument, Dinosaur National Monument, Dinosaur
Astronomy,UT  , National Recreation Area, Glen Canyon National Recreation Area, Glen Canyon
Astronomy,UT  , National Monument, Hovenweep National Monument, Hovenweep
Astronomy,VA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,VA, National Seashore, Assateague Island National Seashore, Assateague Island
Astronomy,WY  , National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon
