Activity,State,Category ,Park,Area 
Fishing,WV, National Recreation Area, Gauley River National Recreation Area, Gauley River
Fishing,WY, National Historic Site,Fort Laramie National Historic Site, Fort Laramie
Fishing,WY, National Park, Grand Teton National Park, Grand Teton
Fishing,DE, National Historic Trail, Captain John Smith Chesapeake National Historic Trail, Captain John Smith Chesapeake
Fishing,ID, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,IL, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,IN, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,KS, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,MD, National Historic Trail, Captain John Smith Chesapeake National Historic Trail, Captain John Smith Chesapeake
Fishing,MD, National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal
Fishing,MO, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,MS, National Seashore, Gulf Islands National Seashore, Gulf Islands
Fishing,MT, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,ND, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,NE, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,NJ, National Recreation Area, Gateway National Recreation Area, Gateway
Fishing,NV, National Recreation Area, Lake Mead National Recreation Area, Lake Mead
Fishing,NY, National Historic Trail, Captain John Smith Chesapeake National Historic Trail, Captain John Smith Chesapeake
Fishing,OH, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,OR, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,PA, National Historic Trail, Captain John Smith Chesapeake National Historic Trail, Captain John Smith Chesapeake
Fishing,PA, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,PA, National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap
Fishing,PA, National Historical Park, First State National Historical Park, First State
Fishing,SD, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,TN, National River & Recreation Area, Big South Fork National River & Recreation Area, Big South Fork
Fishing,TN, National Park, Great Smoky Mountains National Park, Great Smoky Mountains
Fishing,UT, National Monument, Dinosaur National Monument, Dinosaur
Fishing,UT, National Recreation Area, Glen Canyon National Recreation Area, Glen Canyon
Fishing,WA, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,WA, National Historical Park, Lewis and Clark National Historical Park, Lewis and Clark
Fishing,WV, National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal
Fishing,WV, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,WY, National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon
